PID: 08 | Hora: 01:24:53.938
PID: 10 | Hora: 01:24:54.040
PID: 09 | Hora: 01:24:54.141
PID: 06 | Hora: 01:24:54.242
PID: 01 | Hora: 01:24:54.344
PID: 03 | Hora: 01:24:54.446
PID: 09 | Hora: 01:24:54.616
PID: 01 | Hora: 01:24:54.880
PID: 03 | Hora: 01:24:54.982
PID: 05 | Hora: 01:24:55.083
PID: 04 | Hora: 01:24:55.184
PID: 02 | Hora: 01:24:55.285
PID: 07 | Hora: 01:24:55.386
PID: 08 | Hora: 01:24:55.488
PID: 01 | Hora: 01:24:55.590
PID: 10 | Hora: 01:24:55.691
PID: 03 | Hora: 01:24:55.909
PID: 09 | Hora: 01:24:56.010
PID: 02 | Hora: 01:24:56.132
PID: 06 | Hora: 01:24:56.266
PID: 07 | Hora: 01:24:56.597
PID: 10 | Hora: 01:24:57.129
PID: 05 | Hora: 01:24:57.230
PID: 04 | Hora: 01:24:57.331
PID: 09 | Hora: 01:24:57.433
PID: 03 | Hora: 01:24:57.534
PID: 02 | Hora: 01:24:57.636
PID: 08 | Hora: 01:24:57.738
PID: 01 | Hora: 01:24:57.839
PID: 02 | Hora: 01:24:57.940
PID: 06 | Hora: 01:24:58.042
PID: 09 | Hora: 01:24:58.143
PID: 05 | Hora: 01:24:58.244
PID: 07 | Hora: 01:24:58.346
PID: 06 | Hora: 01:24:58.447
PID: 04 | Hora: 01:24:58.789
PID: 08 | Hora: 01:24:58.977
PID: 10 | Hora: 01:24:59.078
PID: 03 | Hora: 01:24:59.179
PID: 01 | Hora: 01:24:59.312
PID: 10 | Hora: 01:24:59.413
PID: 06 | Hora: 01:24:59.515
PID: 02 | Hora: 01:24:59.798
PID: 05 | Hora: 01:25:00.077
PID: 04 | Hora: 01:25:00.179
PID: 07 | Hora: 01:25:00.301
PID: 08 | Hora: 01:25:00.925
PID: 05 | Hora: 01:25:01.166
PID: 07 | Hora: 01:25:01.470
PID: 04 | Hora: 01:25:01.967
